,CBR,Drop Rate %,RTT (Sec),TCP,TCP Start (Sec),Throughput (Mbps),Time (Sec)
219,10.5,31.818181818181817,0.3948430810810812,Agent/TCP,3.766702,0.030425482282917093,19.911064
220,0.0,0.0,0.06575254499089045,Agent/TCP/Reno,2.568457,2.6213320434083025,19.999961
221,0.0,0.0,0.0657486092209836,Agent/TCP/Reno,0.07821,2.6274727799404585,19.995874
222,0.0,0.0,0.06575936381709535,Agent/TCP/Reno,2.412333,2.6255019440952085,19.999949
223,0.0,0.0,0.06575484618395096,Agent/TCP/Reno,3.756068,2.619367738821664,19.999988
224,0.0,0.0,0.06575837570209904,Agent/TCP/Reno,4.715808,2.6185027376179058,19.999168
225,0.0,0.0,0.06575300258779829,Agent/TCP/Reno,2.831877,2.6224963317753085,19.995493
226,0.0,0.0,0.06575221045044839,Agent/TCP/Reno,2.37147,2.6255585295390986,19.999902
227,0.0,0.0,0.06575435072998619,Agent/TCP/Reno,1.092778,2.627101862586634,19.999818
228,0.0,0.0,0.06575485128929501,Agent/TCP/Reno,2.028759,2.625097269682309,19.999415
229,0.0,0.0,0.06575156261022722,Agent/TCP/Reno,2.006283,2.6241253419866104,19.983595
230,0.5,0.0,0.06576702443365592,Agent/TCP/Reno,0.398922,2.6275432790333135,19.999406
231,0.5,0.0,0.06576465219512109,Agent/TCP/Reno,0.500319,2.6250514779228307,19.998969
232,0.5,0.0,0.06577894919786037,Agent/TCP/Reno,4.528022,2.6189519737419147,19.999371
233,0.5,0.0,0.06576557698541291,Agent/TCP/Reno,0.413705,2.6301031381452824,19.995112
234,0.5,0.0,0.06577677617750041,Agent/TCP/Reno,3.656808,2.621810994097543,19.999832
235,0.5,0.0,0.0657710762340037,Agent/TCP/Reno,2.616742,2.623966211139989,19.999039
236,0.5,0.0,0.06576764816753902,Agent/TCP/Reno,1.805747,2.6249474195612037,19.9993
237,0.5,0.0,0.06577074743832946,Agent/TCP/Reno,3.266994,2.6206212478532906,19.998416
238,0.5,0.0,0.06576813199268673,Agent/TCP/Reno,2.62334,2.6224714039353043,19.999682
239,0.5,0.0,0.065772878528826,Agent/TCP/Reno,3.993919,2.6214505319457664,19.999592
240,1.0,0.0,0.06578532323612384,Agent/TCP/Reno,3.093443,2.6231463119191947,19.999065
241,1.0,0.0,0.06578462893567699,Agent/TCP/Reno,3.529971,2.6220343787275584,19.998527
242,1.0,0.0,0.06578027708903508,Agent/TCP/Reno,0.282261,2.6290499358459902,19.998098
243,1.0,0.0,0.06578544782608715,Agent/TCP/Reno,4.610829,2.62162459497674,19.99976
244,1.0,0.0,0.06578855454168359,Agent/TCP/Reno,4.651728,2.618308545595967,19.999774
245,1.0,0.0,0.0657775675136112,Agent/TCP/Reno,2.489386,2.624310080111918,19.99939
246,1.0,0.0,0.06578068673677001,Agent/TCP/Reno,1.277902,2.6264420213887365,19.999625
247,1.0,0.0,0.06578262008113553,Agent/TCP/Reno,4.297477,2.6223606429878505,19.99936
248,1.0,0.0,0.06578928051261211,Agent/TCP/Reno,4.344676,2.6201780163326744,19.999307
249,1.0,0.0,0.06578372526539265,Agent/TCP/Reno,4.986444,2.6212800763592408,19.999689
250,1.5,0.0,0.06578680650994612,Agent/TCP/Reno,2.430592,2.6225772888402177,19.999752
251,1.5,0.0,0.06578741793570206,Agent/TCP/Reno,1.234442,2.625827463222776,19.998569
252,1.5,0.0,0.06578457556270095,Agent/TCP/Reno,1.26002,2.623919814379287,19.999739
253,1.5,0.0,0.06578238679549173,Agent/TCP/Reno,0.313602,2.6254139976598294,19.993363
254,1.5,0.0,0.06579092593957256,Agent/TCP/Reno,2.763991,2.6211988980478425,19.999585
255,1.5,0.0,0.06579324909090882,Agent/TCP/Reno,4.228336,2.622454440166144,19.996282
256,1.5,0.0,0.06579343728489435,Agent/TCP/Reno,3.351626,2.6242240782570567,19.996668
257,1.5,0.0,0.06578953761814747,Agent/TCP/Reno,3.185745,2.620105744583415,19.999845
258,1.5,0.0,0.06579620866141744,Agent/TCP/Reno,3.030703,2.623271882271855,19.998948
259,1.5,0.0,0.06578139159935437,Agent/TCP/Reno,0.355995,2.628156557043395,19.999391
